,loss
0,22.962926864624023
1,18.818714141845703
2,16.532360076904297
3,14.70668888092041
4,14.254356384277344
5,13.850815773010254
6,12.24846363067627
7,11.573575973510742
8,11.278362274169922
9,10.58294677734375
10,10.15599250793457
11,11.1943998336792
12,9.561322212219238
13,9.614933013916016
14,9.961042404174805
15,8.850495338439941
16,9.250908851623535
17,8.488934516906738
18,10.236787796020508
19,8.234455108642578
20,8.924193382263184
21,9.70054817199707
22,9.726299285888672
23,9.934444427490234
24,7.921137809753418
25,9.542960166931152
26,8.72132682800293
27,9.115510940551758
28,8.647144317626953
29,8.814445495605469
30,7.933394908905029
31,8.854228973388672
32,8.92608642578125
33,9.618595123291016
34,8.059812545776367
35,8.043623924255371
36,8.173011779785156
37,8.216835021972656
38,8.230692863464355
39,8.011042594909668
40,8.050086975097656
41,8.457021713256836
42,7.970144748687744
43,7.803284168243408
44,7.705266952514648
45,8.278182983398438
46,8.418548583984375
47,8.279708862304688
48,7.816211700439453
49,7.841182231903076
50,7.67177152633667
51,8.191072463989258
52,8.147871971130371
53,8.077448844909668
54,7.200506687164307
55,9.561840057373047
56,8.31916618347168
57,8.135360717773438
58,8.740599632263184
59,7.80911922454834
60,7.798208713531494
61,8.05021858215332
62,7.909895896911621
63,8.00421142578125
64,9.679594993591309
65,9.379241943359375
66,8.16043472290039
67,8.116588592529297
68,8.219971656799316
69,7.713333606719971
70,9.604232788085938
71,8.248419761657715
72,8.12539291381836
73,7.86411190032959
74,7.748734951019287
75,8.941393852233887
76,7.723158359527588
77,7.684414863586426
78,8.148838996887207
79,8.657790184020996
80,8.718816757202148
81,7.541774749755859
82,8.38492488861084
83,8.669913291931152
84,7.610843181610107
85,8.347757339477539
86,7.41485595703125
87,8.00699520111084
88,9.39651107788086
89,7.971051216125488
90,7.915488243103027
91,7.748993396759033
92,8.164787292480469
93,8.296713829040527
94,9.274261474609375
95,8.097548484802246
96,7.877176284790039
97,8.336854934692383
98,8.200153350830078
99,8.335648536682129
100,8.183162689208984
101,8.019050598144531
102,8.36325740814209
103,7.633872032165527
104,7.195490837097168
105,7.703620433807373
106,8.499626159667969
107,8.394279479980469
108,7.980270862579346
109,7.641882419586182
110,7.910880088806152
111,8.354935646057129
112,7.9583635330200195
113,7.791882038116455
114,8.05549144744873
115,8.051739692687988
116,7.589871406555176
117,7.841509819030762
118,7.769943714141846
119,9.41077709197998
120,7.851625442504883
121,7.411396026611328
122,7.304230690002441
123,8.074722290039062
124,9.364923477172852
125,7.95437479019165
126,8.783844947814941
127,7.805676460266113
128,7.402115821838379
129,7.766422271728516
130,7.917548656463623
131,8.081396102905273
132,7.622071266174316
133,7.685296058654785
134,7.800173759460449
135,7.33637809753418
136,8.133768081665039
137,8.269247055053711
138,7.187453746795654
139,8.869754791259766
140,9.942300796508789
141,7.538211345672607
142,6.932382106781006
143,7.8854265213012695
144,7.944149017333984
145,7.785315990447998
146,7.011683464050293
147,9.355070114135742
148,9.478398323059082
149,8.26602554321289
150,10.009491920471191
151,16.71979331970215
152,12.378975868225098
153,7.964629173278809
154,12.24209976196289
155,6.534706115722656
156,8.250633239746094
157,5.568863868713379
158,6.808276176452637
159,7.262656211853027
160,4.712450981140137
161,4.022855281829834
162,6.691244125366211
163,3.9108285903930664
164,4.58864688873291
165,5.441431999206543
166,5.5082597732543945
167,4.465954780578613
168,3.748074531555176
169,3.8529045581817627
170,4.763708591461182
171,4.330336570739746
172,3.6730098724365234
173,3.581883430480957
174,5.192277908325195
175,3.4815468788146973
176,3.500631809234619
177,5.088491439819336
178,4.406948566436768
179,5.061261177062988
180,4.034661293029785
181,4.715412616729736
182,3.878669023513794
183,4.265795707702637
184,4.294485092163086
185,4.084062099456787
186,4.250551223754883
187,4.753783226013184
188,3.739142894744873
189,2.969905376434326
190,3.915325164794922
191,4.747689247131348
192,3.9951205253601074
193,3.5837299823760986
194,3.925400733947754
195,3.881809711456299
196,4.860077857971191
197,4.216142654418945
198,3.966963291168213
199,4.743481636047363
200,3.628490447998047
201,4.2601213455200195
202,4.240970611572266
203,2.957228660583496
204,3.884502649307251
205,4.337363243103027
206,5.03725528717041
207,3.3789281845092773
208,3.5383944511413574
209,3.100532293319702
210,2.941634178161621
211,3.437788724899292
212,4.259050369262695
213,4.187058925628662
214,4.385662078857422
215,3.094007730484009
216,4.111229419708252
217,3.0677900314331055
218,3.934915781021118
219,4.1078200340271
220,4.150887966156006
221,3.8930718898773193
222,3.7961819171905518
223,4.757493495941162
224,4.6660871505737305
225,3.3794689178466797
226,3.8167877197265625
227,3.653080701828003
228,3.7184135913848877
229,4.253192901611328
230,3.3216702938079834
231,3.323549509048462
232,2.5944254398345947
233,4.771085739135742
234,3.7653722763061523
235,3.6821346282958984
236,3.948380947113037
237,4.337925910949707
238,2.8717243671417236
239,3.4204471111297607
240,3.7008767127990723
241,2.781283378601074
242,3.5701236724853516
243,4.202422618865967
244,3.7853879928588867
245,2.627549171447754
246,3.121005058288574
247,2.45820951461792
248,4.10011100769043
249,3.520310878753662
250,3.916423797607422
251,3.4033727645874023
